name, birth_year, genre
Charles_R._Jackson other, 1903, other
Charles_Ritcheson other, 1925, other
Charlie_Hall_(musician) other, 1973, other
Charlie_Lowell other, 1973, other
Charlie_Ryan other, 1915, other
Charlie_Wadhams other, 1978, other
Charlie_Walker_(musician) other, 1926, other
Charlie_Whitehead other, 1942, other
Charlie_Worsham other, 1985, other
Charlotte_Martin other, 1976, other
Chase_N_Dough other, 1991, other
Chase_Rice other, 1985, other
Chase_Walker other, 1998, other
Chastity_Brown other, 1982, other
Chelsea_Martin other, 1986, other
Cherry_Adair romance, 1951, romance
Cherry_Vanilla other, 1943, other
Chloe_Neill romance, 1972, romance
Chloe_Neill fantasy, 1972, fantasy
Choire_Sicha other, 1971, other
Choppa other, 1980, other
Chris_Agee poetry, 1956, poetry
Chris_Akinyemi other, 1990, other
Chris_Ayer other, 1984, other
Chris_Bathgate other, 1982, other
Chris_Beard_(singer) other, 1957, other
Chris_Castle other, 1976, other
Chris_Douglas other, 1974, other
Chris_Ethridge other, 1947, other
Chris_Garneau other, 1982, other
Chris_Gelbuda other, 1983, other
Chris_Impellitteri other, 1964, other
Chris_Kenner other, 1929, other
Chris_Knight_(musician) other, 1960, other
Chris_Meledandri other, 1959, other
Chris_Moriarty science_fiction, 1968, science_fiction
Chris_Moriarty fantasy, 1968, fantasy
Chris_Morris_(author) fantasy, 1946, fantasy
Chris_Pedersen_(musician) other, 1960, other
Chris_Phoenix_(rapper) other, 1984, other
Chris_Seefried other, 1966, other
Chris_Soentpiet other, 1970, other
Chris_Vallillo other, 1954, other
Chris_Vaughn other, 1976, other
Chris_Volz other, 1973, other
Chris_Wallace_(musician) other, 1985, other
Chris_Webby other, 1988, other
Christine_Fugate other, 1963, other
Christopher_Anselmo other, 1994, other
Christopher_Barzak other, 1975, other
Christopher_Barzak fantasy, 1975, fantasy
Christopher_Lukas other, 1935, other
Christopher_Reich other, 1961, other
Christopher_Williams_(singer) other, 1967, other
Christy_Sutherland other, 1976, other
Chubby_Carrier other, 1967, other
Chuck_Fenda other, 1972, other
Chuck_Rozanski other, 1955, other
Chuck_Wicks other, 1979, other
Chuck_Wright other, 1959, other
Chuckey_Charles other, 1970, other
Cinda_Williams_Chima other, 1952, other
Cindy_Cruse-Ratcliff other, 1963, other
Cisco_Houston other, 1918, other
Claire_Guerreso other, 1983, other
Clara_Jeffery other, 1967, other
Clare_Bell fantasy, 1952, fantasy
Clarence_Garlow other, 1911, other
Claude_Ely other, 1922, other
Claude_Fredericks poetry, 1923, poetry
Claude_Gray other, 1932, other
Clay_Davidson other, 1971, other
Cletis_Carr other, 1959, other
Cleve_Francis other, 1945, other
Clifford_D._Simak science_fiction, 1904, science_fiction
Clifford_D._Simak_bibliography science_fiction, 1904, science_fiction
Clifton_Snider poetry, 1947, poetry
Clifton_Snider other, 1947, other
Clint_Crisher other, 1973, other
Clinton_Gregory other, 1964, other
C-Rayz_Walz other, 1975, other
C._B._Colby other, 1904, other
C._C._Adcock other, 1969, other
C._Dale_Young poetry, 1969, poetry
C._J._Chenier other, 1957, other
C._J._Henderson other, 1951, other
C._J._Henderson science_fiction, 1951, science_fiction
C._J._Henderson fantasy, 1951, fantasy
Coco_Montoya other, 1951, other
Cody_Canada other, 1976, other
Cody_Johnson other, 1987, other
Coffey_Anderson other, 1978, other
Colby_O'Donis other, 1989, other
Colette_Carr other, 1991, other
Colette_Inez poetry, 1931, poetry
Con_Hunley other, 1945, other
Connie_Ann_Kirk other, 1957, other
Connie_Brockway romance, 1954, romance
Cooper_Boone other, 1963, other
Cootie_Stark other, 1927, other
Cork_Graham other, 1964, other
Cormac_McCarthy other, 1933, other
Cornel_Lengyel poetry, 1914, poetry
Cornel_Lengyel other, 1914, other
CoryLavel other, 1989, other
Courtney_Marie_Andrews other, 1990, other
Courtney_Summers other, 1986, other
Craig_Arnold poetry, 1967, poetry
Craig_Bickhardt other, 1954, other
Craig_Czury poetry, 1951, poetry
Craig_Frost other, 1948, other
Craig_Huxley other, 1954, other
Craig_Johnson_(author) other, 1961, other
Craig_Luebben other, 1960, other
Craig_McDonald other, 1962, other
Craig_Owens other, 1984, other
Craig_Seymour other, 1968, other
